PID,Trial,Index,RT,HE,PCPP
787621,6.0,3,774.0,5.0,0
787621,6.0,4,1290.0,5.0,2
787621,6.0,5,316.0,5.0,0
787621,7.0,1,505.0,3.0,0
787621,7.0,2,335.0,3.0,0
787621,7.0,3,649.0,3.0,0
787621,7.0,4,413.0,3.0,2
787621,7.0,5,1643.0,3.0,0
787621,8.0,1,1618.0,3.0,0
787621,8.0,2,460.0,3.0,0
787621,8.0,3,593.0,3.0,0
787621,8.0,4,605.0,3.0,2
787621,8.0,5,705.0,3.0,0
787621,9.0,1,537.0,3.0,0
787621,9.0,2,501.0,3.0,0
787621,9.0,3,729.0,3.0,1
787621,9.0,4,840.0,3.0,0
787621,10.0,1,1358.0,5.0,0
787621,10.0,2,749.0,5.0,0
787621,10.0,3,1463.0,5.0,2
787621,10.0,4,529.0,5.0,0
787621,11.0,1,585.0,3.0,0
787621,11.0,2,410.0,3.0,0
787621,11.0,3,2984.0,3.0,1
787621,11.0,4,823.0,3.0,0
787621,12.0,1,804.0,5.0,0
787621,12.0,2,600.0,5.0,0
787621,12.0,3,1188.0,5.0,2
787621,12.0,4,1690.0,5.0,0
787621,13.0,1,653.0,3.0,0
787621,13.0,2,492.0,3.0,2
787621,13.0,3,883.0,3.0,0
787621,14.0,1,1025.0,3.0,0
787621,14.0,2,786.0,3.0,2
787621,14.0,3,1091.0,3.0,0
787621,15.0,1,728.0,3.0,0
787621,15.0,2,701.0,3.0,0
787621,16.0,1,1032.0,3.0,0
787621,16.0,2,655.0,3.0,0
790211,1.0,1,815.0,0.0,0
790211,1.0,2,813.0,0.0,0
790211,1.0,3,625.0,0.0,0
790211,1.0,4,693.0,0.0,0
790211,1.0,5,487.0,0.0,2
790211,1.0,6,432.0,0.0,0
790211,2.0,1,121.0,3.0,0
790211,2.0,2,239.0,3.0,0
790211,2.0,3,622.0,3.0,0
790211,2.0,4,955.0,3.0,2
790211,2.0,5,637.0,3.0,0
790211,3.0,1,842.0,3.0,0
790211,3.0,2,305.0,3.0,0
790211,3.0,3,354.0,3.0,0
790211,3.0,4,417.0,3.0,2
790211,3.0,5,752.0,3.0,0
790211,4.0,1,256.0,3.0,0
790211,4.0,2,295.0,3.0,0
790211,4.0,3,906.0,3.0,0
790211,4.0,4,866.0,3.0,2
790211,4.0,5,929.0,3.0,0
790211,5.0,1,1036.0,3.0,0
790211,5.0,2,317.0,3.0,0
790211,5.0,3,416.0,3.0,0
790211,5.0,4,372.0,3.0,1
790211,5.0,5,309.0,3.0,0
790211,6.0,1,341.0,5.0,0
790211,6.0,2,327.0,5.0,0
790211,6.0,3,283.0,5.0,0
790211,6.0,4,475.0,5.0,1
790211,6.0,5,364.0,5.0,0
790211,7.0,1,617.0,5.0,0
790211,7.0,2,328.0,5.0,0
790211,7.0,3,286.0,5.0,0
790211,7.0,4,436.0,5.0,2
790211,7.0,5,334.0,5.0,0
790211,8.0,1,477.0,3.0,0
790211,8.0,2,329.0,3.0,0
790211,8.0,3,291.0,3.0,0
790211,8.0,4,345.0,3.0,2
790211,8.0,5,1032.0,3.0,0
790211,9.0,1,797.0,3.0,0
790211,9.0,2,761.0,3.0,0
790211,9.0,3,570.0,3.0,2
790211,9.0,4,435.0,3.0,0
790211,10.0,1,614.0,3.0,0
790211,10.0,2,589.0,3.0,0
790211,10.0,3,382.0,3.0,0
790211,10.0,4,376.0,3.0,2
790211,10.0,5,469.0,3.0,0
790211,11.0,1,2304.0,3.0,0
790211,11.0,2,616.0,3.0,0
790211,11.0,3,451.0,3.0,0
790211,11.0,4,395.0,3.0,2
790211,11.0,5,334.0,3.0,0
790211,12.0,1,742.0,3.0,0
790211,12.0,2,374.0,3.0,0
790211,12.0,3,382.0,3.0,0
790211,12.0,4,357.0,3.0,2
790211,12.0,5,455.0,3.0,0
790211,13.0,1,545.0,3.0,0
790211,13.0,2,679.0,3.0,0
790211,13.0,3,624.0,3.0,0
790211,13.0,4,461.0,3.0,2
790211,13.0,5,503.0,3.0,0
790211,14.0,1,672.0,3.0,0
790211,14.0,2,579.0,3.0,0
790211,14.0,3,585.0,3.0,0
790211,14.0,4,597.0,3.0,2
790211,14.0,5,394.0,3.0,0
790211,15.0,1,784.0,3.0,0
790211,15.0,2,271.0,3.0,0
790211,15.0,3,1134.0,3.0,0
790211,15.0,4,1296.0,3.0,0
790221,1.0,1,1743.0,0.0,0
790221,1.0,2,542.0,0.0,0
790221,1.0,3,557.0,0.0,0
790221,1.0,4,485.0,0.0,0
790221,1.0,5,507.0,0.0,0
790221,1.0,6,657.0,0.0,1
790221,1.0,7,1348.0,0.0,0
790221,2.0,1,594.0,5.0,0
790221,2.0,2,532.0,5.0,0
790221,2.0,3,944.0,5.0,0
790221,2.0,4,597.0,5.0,0
790221,2.0,5,1110.0,5.0,0
790221,2.0,6,2447.0,5.0,2
790221,2.0,7,701.0,5.0,0
790221,3.0,1,776.0,3.0,0
790221,3.0,2,731.0,3.0,0
790221,3.0,3,1555.0,3.0,0
790221,3.0,4,1827.0,3.0,0
790221,3.0,5,672.0,3.0,1
790221,3.0,6,441.0,3.0,0
790221,4.0,1,708.0,5.0,0
790221,4.0,2,530.0,5.0,0
790221,4.0,3,657.0,5.0,0
790221,4.0,4,1488.0,5.0,0
790221,4.0,5,400.0,5.0,2
790221,4.0,6,758.0,5.0,0
790221,5.0,1,693.0,3.0,0
790221,5.0,2,1134.0,3.0,0
790221,5.0,3,641.0,3.0,0
790221,5.0,4,454.0,3.0,0
790221,5.0,5,855.0,3.0,1
790221,5.0,6,560.0,3.0,0
790221,6.0,1,855.0,5.0,0
790221,6.0,2,355.0,5.0,0
790221,6.0,3,456.0,5.0,0
790221,6.0,4,421.0,5.0,0
790221,6.0,5,419.0,5.0,2
790221,6.0,6,456.0,5.0,0
790221,7.0,1,1083.0,3.0,0
790221,7.0,2,471.0,3.0,0
790221,7.0,3,833.0,3.0,0
790221,7.0,4,529.0,3.0,2
790221,7.0,5,407.0,3.0,0
790221,8.0,1,462.0,3.0,0
790221,8.0,2,402.0,3.0,0
790221,8.0,3,561.0,3.0,0
790221,8.0,4,549.0,3.0,2
790221,8.0,5,386.0,3.0,0
790221,9.0,1,587.0,3.0,0
790221,9.0,2,330.0,3.0,0
790221,9.0,3,426.0,3.0,0
790221,9.0,4,601.0,3.0,2
790221,9.0,5,1450.0,3.0,0
790221,10.0,1,796.0,3.0,0
790221,10.0,2,368.0,3.0,0
790221,10.0,3,335.0,3.0,1
790221,10.0,4,422.0,3.0,0
790221,11.0,1,649.0,5.0,0
790221,11.0,2,1020.0,5.0,0
790221,11.0,3,400.0,5.0,0
790221,11.0,4,458.0,5.0,2
790221,11.0,5,818.0,5.0,0
790221,12.0,1,659.0,3.0,0
790221,12.0,2,365.0,3.0,0
790221,12.0,3,386.0,3.0,0
790221,12.0,4,640.0,3.0,2
790221,12.0,5,446.0,3.0,0
790221,13.0,1,479.0,3.0,0
790221,13.0,2,510.0,3.0,0
790221,13.0,3,461.0,3.0,0
790221,13.0,4,445.0,3.0,2
790221,13.0,5,360.0,3.0,0
790221,14.0,1,579.0,3.0,0
790221,14.0,2,362.0,3.0,0
790221,14.0,3,448.0,3.0,0
790221,14.0,4,442.0,3.0,0
790221,14.0,5,366.0,3.0,0
790411,1.0,1,1003.0,0.0,0
790411,1.0,2,886.0,0.0,0
790411,1.0,3,623.0,0.0,0
790411,1.0,4,724.0,0.0,0
790411,1.0,5,638.0,0.0,0
790411,1.0,6,505.0,0.0,0
790411,2.0,1,751.0,0.0,0
790411,2.0,2,974.0,0.0,0
790411,2.0,3,811.0,0.0,0
790411,2.0,4,589.0,0.0,0
790411,2.0,5,884.0,0.0,0
790411,2.0,6,505.0,0.0,2
790411,2.0,7,609.0,0.0,0
790411,3.0,1,803.0,3.0,0
790411,3.0,2,670.0,3.0,0
790411,3.0,3,693.0,3.0,0
790411,3.0,4,450.0,3.0,0
790411,3.0,5,635.0,3.0,0
790411,3.0,6,474.0,3.0,2
790411,3.0,7,2764.0,3.0,0
790411,4.0,1,777.0,3.0,0
790411,4.0,2,990.0,3.0,0
790411,4.0,3,742.0,3.0,0
