PID,Trial,Index,RT,HE,PCPP
777611,3.0,5,345.0,3.0,0
777611,3.0,6,452.0,3.0,2
777611,3.0,7,351.0,3.0,0
777611,4.0,1,565.0,3.0,0
777611,4.0,2,386.0,3.0,0
777611,4.0,3,362.0,3.0,0
777611,4.0,4,455.0,3.0,0
777611,4.0,5,481.0,3.0,0
777611,4.0,6,372.0,3.0,2
777611,4.0,7,392.0,3.0,0
777611,5.0,1,693.0,3.0,0
777611,5.0,2,397.0,3.0,0
777611,5.0,3,392.0,3.0,0
777611,5.0,4,363.0,3.0,0
777611,5.0,5,310.0,3.0,1
777611,5.0,6,340.0,3.0,0
777611,6.0,1,735.0,5.0,0
777611,6.0,2,395.0,5.0,0
777611,6.0,3,417.0,5.0,0
777611,6.0,4,305.0,5.0,0
777611,6.0,5,308.0,5.0,1
777611,6.0,6,350.0,5.0,0
777611,7.0,1,664.0,5.0,0
777611,7.0,2,259.0,5.0,0
777611,7.0,3,445.0,5.0,0
777611,7.0,4,350.0,5.0,0
777611,7.0,5,547.0,5.0,2
777611,7.0,6,743.0,5.0,0
777611,8.0,1,543.0,3.0,0
777611,8.0,2,365.0,3.0,0
777611,8.0,3,146.0,3.0,0
777611,8.0,4,385.0,3.0,0
777611,8.0,5,369.0,3.0,2
777611,8.0,6,404.0,3.0,0
777611,9.0,1,799.0,3.0,0
777611,9.0,2,297.0,3.0,0
777611,9.0,3,381.0,3.0,0
777611,9.0,4,428.0,3.0,1
777611,9.0,5,556.0,3.0,0
777611,10.0,1,732.0,5.0,0
777611,10.0,2,300.0,5.0,0
777611,10.0,3,245.0,5.0,0
777611,10.0,4,575.0,5.0,0
777611,10.0,5,356.0,5.0,1
777611,10.0,6,386.0,5.0,0
777611,11.0,1,371.0,5.0,0
777611,11.0,2,319.0,5.0,0
777611,11.0,3,317.0,5.0,0
777611,11.0,4,446.0,5.0,0
777611,11.0,5,479.0,5.0,2
777611,11.0,6,446.0,5.0,0
777611,12.0,1,1213.0,3.0,0
777611,12.0,2,246.0,3.0,0
777611,12.0,3,455.0,3.0,0
777611,12.0,4,472.0,3.0,1
777611,12.0,5,399.0,3.0,0
777611,13.0,1,611.0,5.0,0
777611,13.0,2,365.0,5.0,0
777611,13.0,3,340.0,5.0,0
777611,13.0,4,423.0,5.0,2
777611,13.0,5,462.0,5.0,0
777611,14.0,1,683.0,3.0,0
